key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depth	depthAccuracy	countryCode	gbifRegion	country	sex	modified	rightsHolder	nomenclaturalCode	verbatimEventDate	higherClassification	lifeStage	stateProvince	higherGeography	datasetName	georeferenceProtocol	verbatimCoordinateSystem	locationID	georeferenceRemarks	typeStatus
4399690331	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.706+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	41.7173802	-49.8254436	{}	Atlantic Ocean	2001.0	8.0	20.0	2001-08-20	232.0	232.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.706+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'ca6beb24-f918-47f2-86d0-137dcfb92315'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 46_st.4226	ca6beb24-f918-47f2-86d0-137dcfb92315	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	4226	OBFc	4399690331	ca6beb24-f918-47f2-86d0-137dcfb92315	3600.0 - 3630.0 m	INV0001294	IORAS	IORAS	cruise 46	fd699988-ab5d-4737-9443-9085cea191d2																				
4399691218	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.930+00:00	69	{}	PRESERVED_SPECIMEN	11.0	PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	41.6611564	-49.9908832	{}	Atlantic Ocean	2001.0	9.0	6.0	2001-09-06	249.0	249.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.930+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '56eb8763-527d-4329-9714-7a08cc50d8af'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 46_st.4254	56eb8763-527d-4329-9714-7a08cc50d8af	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	4254	OBFc	4399691218	56eb8763-527d-4329-9714-7a08cc50d8af	3796.0 - 3780.0 m	INV0001302	IORAS	IORAS	cruise 46	fd699988-ab5d-4737-9443-9085cea191d2																				
201119792	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:48.710+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	37.3333	-15.6167	{}		1981.0	5.0	1.0	1981-05-01	121.0	121.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:48.710+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119792'}]	[]	[]	[]			False	MONNIOT Claude	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Large de la peninsule Iberique		Biocean	201119792	201119792		27731	Ifremer				4220.0	0.0																		
201119795	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:48.700+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	37.3	-15.55	{}		1981.0	5.0	1.0	1981-05-01	121.0	121.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:48.700+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119795'}]	[]	[]	[]			False	MONNIOT Claude	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Large de la peninsule Iberique		Biocean	201119795	201119795		27756	Ifremer				4450.0	0.0																		
811996423	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.809+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	37.3333	-15.6167	{}		1981.0	5.0	1.0	1981-05-01	121.0	121.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.809+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996423'}]	[]	[]	[]			False	MONNIOT Claude	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Large de la peninsule Iberique		bio_dba	811996423	811996423		27731	Ifremer				4220.0	0.0																		
811996425	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.812+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	37.3	-15.55	{}		1981.0	5.0	1.0	1981-05-01	121.0	121.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.812+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996425'}]	[]	[]	[]			False	MONNIOT Claude	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Large de la peninsule Iberique		bio_dba	811996425	811996425		27756	Ifremer				4450.0	0.0																		
201120166	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.141+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	-29.8133	34.6433	{}		1979.0	8.0	1.0	1979-08-01	213.0	213.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.141+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201120166'}]	[]	[]	[]			False	MONNIOT Claude	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Ocean indien subtropical ouest		Biocean	201120166	201120166		37911	Ifremer				2608.0	0.0	ZA	AFRICA	South Africa															
811996769	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.861+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	-29.8133	34.6433	{}		1979.0	8.0	1.0	1979-08-01	213.0	213.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.861+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996769'}]	[]	[]	[]			False	MONNIOT Claude	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Ocean indien subtropical ouest		bio_dba	811996769	811996769		37911	Ifremer				2608.0	0.0	ZA	AFRICA	South Africa															
201119475	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.693+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.455	-9.665	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.693+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119475'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119475	201119475		14574	Ifremer				4354.0	0.0	FR	EUROPE	France															
201119477	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.692+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.48	-9.5667	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.692+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119477'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119477	201119477		14664	Ifremer				4277.0	0.0	FR	EUROPE	France															
201119480	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.694+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.5083	-9.5617	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.694+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119480'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119480	201119480		14750	Ifremer				4287.0	0.0	FR	EUROPE	France															
201119481	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.694+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.51	-9.6183	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.694+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119481'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119481	201119481		14824	Ifremer				4281.0	0.0	FR	EUROPE	France															
201119490	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.698+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.4967	-9.6533	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.698+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119490'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119490	201119490		15303	Ifremer				4327.0	0.0	FR	EUROPE	France															
201119495	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.698+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.53	-9.5717	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.698+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119495'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119495	201119495		15403	Ifremer				4249.0	0.0	FR	EUROPE	France															
201119499	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.701+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	46.455	-9.6033	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.701+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119499'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119499	201119499		15498	Ifremer				4316.0	0.0	ES	EUROPE	Spain															
201119506	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.663+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.4967	-9.5567	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.663+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119506'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119506	201119506		15887	Ifremer				4268.0	0.0	FR	EUROPE	France															
201119509	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.662+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.5433	-9.595	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.662+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119509'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		Biocean	201119509	201119509		15988	Ifremer				4254.0	0.0	FR	EUROPE	France															
811996027	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.450+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.455	-9.665	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.450+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996027'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		bio_dba	811996027	811996027		14574	Ifremer				4354.0	0.0	FR	EUROPE	France															
811996030	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.357+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.48	-9.5667	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.357+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996030'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		bio_dba	811996030	811996030		14664	Ifremer				4277.0	0.0	FR	EUROPE	France															
811996032	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.359+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117854	1	54	354	9477065	2013	2117630	2117854	2117854	Nymphon laterospinum Stock, 1963	Nymphon laterospinum Stock, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon laterospinum	Nymphon	laterospinum	SPECIES	ACCEPTED	NE	47.5083	-9.5617	{}		1976.0	7.0	1.0	1976-07-01	183.0	183.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.359+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996032'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Golfe de Gascogne		bio_dba	811996032	811996032		14750	Ifremer				4287.0	0.0	FR	EUROPE	France															
