key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	habitat	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	continent	rightsHolder	nomenclaturalCode	dateIdentified	eventRemarks	fieldNumber	language	type	occurrenceRemarks	typeStatus	verbatimDepth	elevation	elevationAccuracy
1322465326	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:55.542+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE	-21.3042	-174.439	4.5	4.5	{}	South Pacific Ocean	South Pacific Ocean, Tonga	1993.0	11.0	3.0	1993-11-03	307.0	307.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2013-01-11T15:46:00.000+00:00	2024-07-02T12:38:55.542+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e8ce49e3-5079-4b63-9ead-bebc64e06d11'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	J. Williams	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	TO	[]	[]	OCEANIA	Tonga	NORTH_AMERICA	http://n2t.net/ark:/65665/3e8ce49e3-5079-4b63-9ead-bebc64e06d11	Rocky surge channels, fringing reef at base of cliff	urn:lsid:biocol.org:col:34871	03 NOV 1993	unknown, from legacy	Tongatapu Group, Eua Island, NW Shore, In Surge Zone And Spur And Groove	Degrees Minutes Seconds	IZ	1322465326	http://n2t.net/ark:/65665/3e8ce49e3-5079-4b63-9ead-bebc64e06d11	USNM 284322	USNM	JTW 93-18	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6														
1322731832	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:31.608+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE	-18.6397	-174.067	3.0	3.0	{}	South Pacific Ocean	South Pacific Ocean, Tonga	1993.0	11.0	18.0	1993-11-18	322.0	322.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2013-01-11T15:40:00.000+00:00	2024-07-02T12:38:31.608+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f49d8efc-8f2b-4fcd-9a9a-f301c93b8843'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	J. Williams	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	TO	[]	[]	OCEANIA	Tonga	NORTH_AMERICA	http://n2t.net/ark:/65665/3f49d8efc-8f2b-4fcd-9a9a-f301c93b8843	Mostly fossil coral spur and groove formation some live coral	urn:lsid:biocol.org:col:34871	18 NOV 1993	unknown, from legacy	Vava'u Group, Vava'u Island, Port Refuge, West Shore Of Island, On Reef Top And Spur And Groove Formations At Shore	Degrees Minutes Seconds	IZ	1322731832	http://n2t.net/ark:/65665/3f49d8efc-8f2b-4fcd-9a9a-f301c93b8843	USNM 284333	USNM	JTW 93-44	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	OCEANIA												
1122993708	afaa80a2-6167-47e1-baae-5450206d07dd	0674aea0-a7e1-11d8-9534-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	6038e54e-f762-11e1-a439-00145eb45e9a	0674aea0-a7e1-11d8-9534-b8a03c50a862	DE	BIOCASE	2024-06-07T15:52:29.772+00:00	2024-06-07T15:53:02.519+00:00	349	{}	PRESERVED_SPECIMEN		PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}			1991.0	4.0	2.0	1991-04-02	92.0	92.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'REFERENCES_URI_INVALID', 'COLLECTION_MATCH_NONE']		2024-06-07T15:53:02.519+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://id.snsb.info/zsm/collection_zsm/545206/610340/498617'}]	[]	[]	[]	774f65a5-ed87-4356-9515-ea9fd8d68650		False		Müller, Hans-Georg				Pycnogonida	MY	[]	[]	ASIA	Malaysia	EUROPE	http://id.snsb.info/zsm/collection_zsm/545206/610340/498617		http://grscicoll.org/institution/bavarian-state-collection-zoology			Pulau Babi Besar		ZSMarthrovariacoll	1122993708	http://id.snsb.info/zsm/collection_zsm/545206/610340/498617	ZSM-A-20071676 / 610340 / 498617	SNSB-ZSM					ASIA												
2434412401	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:17.872+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}			1991.0	11.0	23.0	1991-11-23	327.0	327.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:17.872+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3551@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3551@CRS		Naturalis Biodiversity Center	23 nov 1991				Chelicerata and Myriapoda	2434412401	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3551	ZMA.PYC.3551			Animalia|Ammotheidae			ASIA	Naturalis Biodiversity Center	ICZN										
2434364444	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:42.484+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}			1991.0	11.0	15.0	1991-11-15	319.0	319.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:42.484+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3565@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3565@CRS		Naturalis Biodiversity Center	15 nov 1991				Chelicerata and Myriapoda	2434364444	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3565	ZMA.PYC.3565			Animalia|Ammotheidae			ASIA	Naturalis Biodiversity Center	ICZN										
2434400746	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.087+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}			1991.0	11.0	15.0	1991-11-15	319.0	319.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:41.087+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3588@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3588@CRS		Naturalis Biodiversity Center	15 nov 1991				Chelicerata and Myriapoda	2434400746	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3588	ZMA.PYC.3588			Animalia|Ammotheidae			ASIA	Naturalis Biodiversity Center	ICZN										
2434365450	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:44.826+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}			1991.0	11.0	20.0	1991-11-20	324.0	324.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:44.826+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3590@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3590@CRS		Naturalis Biodiversity Center	20 nov 1991				Chelicerata and Myriapoda	2434365450	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3590	ZMA.PYC.3590			Animalia|Ammotheidae			ASIA	Naturalis Biodiversity Center	ICZN										
1319152588	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:23.244+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE	-9.42	46.52	6.0	0.0	{'level0': {'gid': 'SYC', 'name': 'Seychelles'}, 'level1': {'gid': 'SYC.20_1', 'name': 'Outer Islands'}}	Indian Ocean	Indian Ocean, Seychelles	1983.0	4.0	3.0	1983-04-03	93.0	93.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-12-10T15:38:00.000+00:00	2024-07-02T12:37:23.244+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35642b693-0453-4aab-866e-4a4b3c3d9b9f'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	B. Kensley	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/35642b693-0453-4aab-866e-4a4b3c3d9b9f		urn:lsid:biocol.org:col:34871	03 APR 1983	unknown, from legacy	Aldabra Atoll, Cinq Cases, Grand Terre	Degrees Minutes Seconds	IZ	1319152588	http://n2t.net/ark:/65665/35642b693-0453-4aab-866e-4a4b3c3d9b9f	USNM 234361	USNM	K-AL-14	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	AFRICA												
2434399236	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.938+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE	3.791667	125.588333			{}			1979.0	7.0	18.0	1979-07-18	199.0	199.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:41.938+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200840@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	EUROPE	ZMA.PYC.200840@CRS		Naturalis Biodiversity Center	18 jul 1979				Chelicerata and Myriapoda	2434399236	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200840	ZMA.PYC.200840			Animalia|Ammotheidae			ASIA	Naturalis Biodiversity Center	ICZN										
2434401402	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:40.338+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE	1.888333	125.1			{}			1979.0	7.0	16.0	1979-07-16	197.0	197.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:40.338+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200841@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	EUROPE	ZMA.PYC.200841@CRS		Naturalis Biodiversity Center	16 jul 1979				Chelicerata and Myriapoda	2434401402	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200841	ZMA.PYC.200841			Animalia|Ammotheidae			ASIA	Naturalis Biodiversity Center	ICZN										
2434401498	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:22.065+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1495/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1495_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1495/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}			1979.0	7.0	16.0	1979-07-16	197.0	197.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:22.065+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1495@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1495_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1495/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		M. Vannini		WholeOrganism (microscopic slide)		Pycnogonida	SO	[]	[]	AFRICA	Somalia	EUROPE	ZMA.PYC.P.1495@CRS		Naturalis Biodiversity Center	16 July 1979		Gesira		Chelicerata and Myriapoda	2434401498	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1495	ZMA.PYC.P.1495			Animalia		FEMALE	AFRICA	Naturalis Biodiversity Center	ICZN										
1322466478	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:25.898+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE	-19.75	57.83			{}	Indian Ocean	Indian Ocean, Seychelles	1975.0	10.0		1975-10			['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:22:00.000+00:00	2024-07-02T12:38:25.898+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e8dbff9b-ef06-472f-b02e-b920c838c46e'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	K. Buchanan	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3e8dbff9b-ef06-472f-b02e-b920c838c46e		urn:lsid:biocol.org:col:34871	-- OCT 1975	unknown, from legacy	Round Island	Degrees Minutes Seconds	IZ	1322466478	http://n2t.net/ark:/65665/3e8dbff9b-ef06-472f-b02e-b920c838c46e	USNM 234420	USNM	12	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE													
609339390	44bcde48-ac71-46f2-bf73-24fc3c008b6c	66522820-055c-11d8-b84e-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a43950ae-eb88-4ef4-bfff-43bcf12885ad	66522820-055c-11d8-b84e-b8a03c50a862	US	EML	2024-07-22T22:53:39.065+00:00	2024-07-22T23:00:03.662+00:00	380	{}	PRESERVED_SPECIMEN		PRESENT	2118267	1	54	354	9477065	6313	2118237	2118267	2118267	Tanystylum bredini Child, 1970	Tanystylum bredini Child, 1970	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum bredini	Tanystylum	bredini	SPECIES	ACCEPTED	NE					{}		Asia	1971.0	3.0	28.0	1971-03-28	87.0	87.0	[]		2024-07-22T23:00:03.662+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:CAS:IZ:115039'}]	[]	[]	[]	d2a27206-87ab-47ea-b5fc-d2e57054b688	5d4a63d3-e994-4b19-b592-e853a8e3b470	False		F.B. Steiner	C. Allan Child, NMNHIZ	Fluid-75% EtOH(1)		Pycnogonida	TH	[]	[]	ASIA	Thailand	NORTH_AMERICA	urn:catalog:CAS:IZ:115039		http://grscicoll.org/institution/california-academy-sciences	28 Mar 1971		Gulf of Thailand, Ko Sichang, inside of WWII Japanese wreck		IZ	609339390	urn:catalog:CAS:IZ:115039	115039	CAS	0569ee23-2598-11ed-aace-005056be1b7a	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		ASIA		ICZN	1998-09-01T00:00:00	Taxa: Ophiuroidea, Decapoda, Polychaeta, Amphipoda, Pycnogonida, Sipuncula, Bivalvia, Cnidaria; eggs; in 2-8 oz., 1 quart, and 1 gallon jars, and in fair condition. Original accession date 18 Dec 1980.	001379	en	Physical Object	1 male with eggs.				
