key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	datasetName	recordedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	recordNumber	eventID	identifier	institutionID	http://unknown.org/taxonRankID	gbifID	occurrenceID	locationRemarks	institutionCode	locationID	taxonConceptID	eventTime	http://unknown.org/species	networkKeys	individualCount	dateIdentified	higherGeography	institutionKey	identifiedBy	preparations	samplingProtocol	nomenclaturalCode	locality	verbatimLocality	collectionCode	language	type	catalogNumber	ownerInstitutionCode	higherClassification	sex	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	acceptedNameUsage	dynamicProperties	nameAccordingTo	depth	fieldNumber	depthAccuracy	scientificNameID	footprintWKT	habitat	waterBody	verbatimEventDate	originalNameUsage	typeStatus	references	bibliographicCitation
2423544762	84a649ce-ff81-420d-9c41-aa1de59e3766	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:24:51.677+00:00	2024-07-02T07:41:23.190+00:00	411	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Nick Shaw', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '4745c3e5-6976-408c-b2e9-ad61a68ffb0e', 'http://purl.org/dc/terms/title': 'PA143215.JPG', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Nick Shaw', 'http://purl.org/dc/terms/identifier': 'https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=a6c0bda0-50cf-4841-a9d6-ccd7c7cb76c9'}]}	HUMAN_OBSERVATION	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-38.483493	145.018383	OCEANIA	Victoria	{}	2018.0	10.0	13.0	2018-10-13T21:25:13Z	286.0	286.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']	2022-11-18T16:36:06.000+00:00	2024-07-02T07:41:23.190+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '4745c3e5-6976-408c-b2e9-ad61a68ffb0e'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'title': 'PA143215.JPG', 'creator': 'Nick Shaw', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'Nick Shaw', 'identifier': 'https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=a6c0bda0-50cf-4841-a9d6-ccd7c7cb76c9'}]	[]	[]	False	e61eb018-02a9-4e3b-a4b3-9d6be33d9cbb	Individual sighting	Shaw, Nick	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Atlas of Living Australia	https://biocollect.ala.org.au/sightings/bioActivity/index/c355f6f7-376f-477a-ba98-d5d2c4d9f01d	c355f6f7-376f-477a-ba98-d5d2c4d9f01d	4745c3e5-6976-408c-b2e9-ad61a68ffb0e	in1033	7000	2423544762	4745c3e5-6976-408c-b2e9-ad61a68ffb0e	nullnull	Atlas of Living Australia	d8f50263-ac3c-4e8a-b5eb-cdc4b23db481	https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad	08:25 AM	Ammothea australiensis																																				
1272760926	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:29.493+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-38.65	145.58	OCEANIA	Victoria	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.10_1', 'name': 'Victoria'}, 'level2': {'gid': 'AUS.10.5_1', 'name': 'Bass Coast'}}	2014.0	2.0	7.0	2014-02-07	38.0	38.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-04-10T14:19:00.000+00:00	2024-07-02T06:37:29.493+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '60463789-6f5a-4047-80bf-2953a577a098'}]	[]	[]	[]	False			Hales, T.J.	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria			60463789-6f5a-4047-80bf-2953a577a098	urn:lsid:biocol.org:col:34978	7000	1272760926	60463789-6f5a-4047-80bf-2953a577a098		NMV		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	2014-01-01T00:00:00	Australia|Victoria	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	David A. Staples - Museum Victoria	Whole|Wet|ethanol 70%	hand	ICZN	Harmers haven	Harmers haven	Invertebrates	en	PhysicalObject	J67652	NMV	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Ammotheidae																			
1100783981	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:48.053+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-32.78304	152.1	OCEANIA	New South Wales	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.5_1', 'name': 'New South Wales'}, 'level2': {'gid': 'AUS.5.110_1', 'name': 'Port Stephens'}}	2006.0	3.0	14.0	2006-03-14	73.0	73.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:48.053+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a2f6b4ca-48a2-4d49-aaa3-86549b16b92f'}]	[]	[]	[]	False			Australian Museum|Invertebrates, Marine	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA			urn:australianmuseum.net.au:Events:1090228	a2f6b4ca-48a2-4d49-aaa3-86549b16b92f		7000	1100783981	a2f6b4ca-48a2-4d49-aaa3-86549b16b92f	ecatalogue.LocCollectionEventLocal: [NSW 2985] Australia, New South Wales, Boat Harbour, south of Port Stephens (32° 46' 59 S, 152° 06' E) 14/03/2006 - 14/03/2006, M. Capa & C. Fraser - Australian Museum - Marine Invertebrates(Collectors), hand collected on snorkel, Field Collected - Aquat;	AM		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']		2006-01-01T00:00:00		9cfe8cbf-35ff-4d93-b932-cb05d91b7922	Arango, C - Australian Museum - Marine Invertebrates		hand collected on snorkel			Boat Harbour, south of Port Stephens	Invertebrates - Marine & Other			P.73357			FEMALE	1e-05	1000.0	ecatalogue.irn:1197656|urn:catalog:AM:Invertebrates - Marine & Other:P.73357	Ammothea australiensis Flynn, 1919	{dcterms:type:PhysicalObject,dcterms:modified:2018/6/28,verbatimUncertainty:100m-1km}	Flynn, 1919												
1272713100	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:19.399+00:00	381	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Marmach, Michael', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '1544965a-2b0b-475c-9f56-147e0679237f', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/identifier': 'https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7ebf7781-d489-4b46-bae8-859e8e5da0c7'}]}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-38.0633	140.658	OCEANIA	South Australia	{}	1990.0	5.0	10.0	1990-05-10	130.0	130.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-10-25T16:28:00.000+00:00	2024-07-02T06:37:19.399+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1544965a-2b0b-475c-9f56-147e0679237f'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Marmach, Michael', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7ebf7781-d489-4b46-bae8-859e8e5da0c7'}]	[]	[]	False		CRUST	Museum Victoria|Museum Victoria	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria		CRUST 70	1544965a-2b0b-475c-9f56-147e0679237f	urn:lsid:biocol.org:col:34978	7000	1272713100	1544965a-2b0b-475c-9f56-147e0679237f		NMV	CRUST 70	https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	1996-01-01T00:00:00	Australia|South Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	Hand	ICZN	Cape Nortumberland, east side, near Map of Australia Reef	Cape Nortumberland, east side, near Map of Australia Reef	Invertebrates	en	PhysicalObject	J20391	NMV	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Ammotheidae								0.0	CRUST 70										
1272713025	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:34.716+00:00	381	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Marmach, Michael', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '92b34edc-3ede-4511-9bf6-a0ce758d0ffd', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/identifier': 'https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ce2a7421-8bab-45b9-8ecd-03239b759297'}]}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-38.0633	140.658	OCEANIA	South Australia	{}	1990.0	5.0	10.0	1990-05-10	130.0	130.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-10-25T16:28:00.000+00:00	2024-07-02T06:37:34.716+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '92b34edc-3ede-4511-9bf6-a0ce758d0ffd'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Marmach, Michael', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ce2a7421-8bab-45b9-8ecd-03239b759297'}]	[]	[]	False		CRUST	Museum Victoria|Museum Victoria	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria		CRUST 71	92b34edc-3ede-4511-9bf6-a0ce758d0ffd	urn:lsid:biocol.org:col:34978	7000	1272713025	92b34edc-3ede-4511-9bf6-a0ce758d0ffd		NMV	CRUST 71	https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	1996-01-01T00:00:00	Australia|South Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	Hand	ICZN	Cape Nortumberland, east side, near Map of Australia Reef	Cape Nortumberland, east side, near Map of Australia Reef	Invertebrates	en	PhysicalObject	J20387	NMV	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Ammotheidae								0.0	CRUST 71										
1100763169	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:13.569+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-32.266	115.683	OCEANIA	Western Australia	{}	1983.0	12.0	26.0	1983-12-26	360.0	360.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:20:13.569+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ecfdeedb-6a87-4d40-8b8a-e8cf6845cf4a'}]	[]	[]	[]	False			Springthorpe, Roger Tenison|Australian Museum|Invertebrates, Marine	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA			urn:australianmuseum.net.au:Events:1076295	ecfdeedb-6a87-4d40-8b8a-e8cf6845cf4a		7000	1100763169	ecfdeedb-6a87-4d40-8b8a-e8cf6845cf4a	ecatalogue.LocCollectionEventLocal: [WA-296] Australia, Western Australia, 2 km south of Cape Peron, reef west of groyne (32° 16' S, 115° 41' E) 26/12/1983 - 26/12/1983;	AM		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']		1994-01-01T00:00:00		9cfe8cbf-35ff-4d93-b932-cb05d91b7922	Krapp, F					2 km south of Cape Peron, reef west of groyne	Invertebrates - Marine & Other			P.43188				0.001	1000.0	ecatalogue.irn:1063087|urn:catalog:AM:Invertebrates - Marine & Other:P.43188	Ammothea australiensis Flynn, 1919	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	Flynn, 1919												
4081100819	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.077+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-41.3117	174.855	OCEANIA		{}	1977.0	7.0	7.0	1977-07-07	188.0	188.0	['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.077+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5cef97d4-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		NIWA Invertebrate Collection		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA				5cef97d4-fa36-11e2-96b3-aa6f927c92a3			4081100819	5cef97d4-fa36-11e2-96b3-aa6f927c92a3		NIWA Invertebrate Collection	P136				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']						Specimen(s), Alcohol unknown = 4					NIWA	en		16334					500.0					0.0		0.0	urn:lsid:marinespecies.org:taxname:240382	POINT (174.855 -41.3117)							
1100763083	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:01.650+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-33.966	151.166	OCEANIA	New South Wales	{}	1976.0	11.0	17.0	1976-11-17	322.0	322.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:01.650+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1dea1b6c-32fb-4ac2-bc73-0e47db199ab9'}]	[]	[]	[]	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA			urn:australianmuseum.net.au:Events:1035558	1dea1b6c-32fb-4ac2-bc73-0e47db199ab9		7000	1100763083	1dea1b6c-32fb-4ac2-bc73-0e47db199ab9	ecatalogue.LocCollectionEventLocal: Australia, New South Wales, north west Botany Bay (33° 58' S, 151° 10' E) 17/11/1976 - 17/11/1976;	AM		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']		1994-01-01T00:00:00		9cfe8cbf-35ff-4d93-b932-cb05d91b7922	Krapp, F					north west Botany Bay	Invertebrates - Marine & Other			P.43105				0.001	10000.0	ecatalogue.irn:1063031|urn:catalog:AM:Invertebrates - Marine & Other:P.43105	Ammothea australiensis Flynn, 1919	{dcterms:type:PhysicalObject,dcterms:modified:2020/9/21,verbatimUncertainty:1km-10km}	Flynn, 1919												
1916802842	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:09.527+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-33.55	115.06667	OCEANIA	Western Australia	{}	1975.0	2.0	25.0	1975-02-25	56.0	56.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	1993-05-14T00:00:00.000+00:00	2024-07-02T17:15:09.527+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '69304bbf-7da8-4acf-a912-b457f680ba86'}]	[]	[]	[]	False			Baker, A.|Marsh, L.M.	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA				69304bbf-7da8-4acf-a912-b457f680ba86		7000	1916802842	69304bbf-7da8-4acf-a912-b457f680ba86	Eagle Bay, Cape Naturaliste	WAM		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	1975-01-01T00:00:00		09d260e0-a509-40c7-bef5-b0f5444be84a	Child, C.A.	wet (in ethanol or some other preservative)	rock washings				ARACH		PhysicalObject	10244			MALE			76/14															
1132259620	d0e133c0-6c8a-11de-8226-b8a03c50a862	14209842-b56e-40ae-b95d-b13224d0411c	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:25:04.729+00:00	2024-07-02T07:41:34.504+00:00	365	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-41.08332	146.75	OCEANIA	Tasmania	{}	1974.0	11.0	20.0	1974-11-20	324.0	324.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_NONE']		2024-07-02T07:41:34.504+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '9a9a75eb-3182-4b68-ae56-8cf5cbcbf13f'}]	[]	[]	[]	False			Green, Rh	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA				9a9a75eb-3182-4b68-ae56-8cf5cbcbf13f		7000	1132259620	9a9a75eb-3182-4b68-ae56-8cf5cbcbf13f		QVMAG		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0				Staples, D.A.	wet			Greens Beach		Invertebrates		PhysicalObject	QVM:10:24311					10000.0										under rocks intertidally						
1132259596	d0e133c0-6c8a-11de-8226-b8a03c50a862	14209842-b56e-40ae-b95d-b13224d0411c	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:25:04.729+00:00	2024-07-02T07:41:35.888+00:00	365	{}	PRESERVED_SPECIMEN	PRESENT	5166756	1	54	354	9477065	6313	2118547	5166756	5166756	Ammothea australiensis (Flynn, 1919)	Ammothea australiensis (Flynn, 1919)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea australiensis	Ammothea	australiensis	SPECIES	ACCEPTED	NE	-41.08332	146.75	OCEANIA	Tasmania	{}	1974.0	11.0	17.0	1974-11-17	321.0	321.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_NONE']		2024-07-02T07:41:35.888+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'c0ef52d9-bed3-4f59-97bc-311a957b1b73'}]	[]	[]	[]	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA				c0ef52d9-bed3-4f59-97bc-311a957b1b73		7000	1132259596	c0ef52d9-bed3-4f59-97bc-311a957b1b73		QVMAG		https://biodiversity.org.au/afd/taxa/a5234ead-97fa-4c25-9e29-150d817097ad		Ammothea australiensis	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0				Staples, D.A.	wet			Greens Beach		Invertebrates		PhysicalObject	QVM:10:24310					10000.0										under rocks intertidally						
