key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locationID	footprintWKT	locality	gbifID	language	collectionCode	occurrenceID	georeferenceSources	continent	dateIdentified	sex	coordinatePrecision	waterBody	institutionKey	otherCatalogNumbers	eventID	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	locationRemarks	taxonConceptID	http://unknown.org/species	nameAccordingTo	individualCount	modified	occurrenceRemarks	bibliographicCitation	eventRemarks	fieldNumber	typeStatus	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification
4081087000	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.994+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-33.9875	171.750833	100.0	172.0	2.0	{}	2011.0	3.0	28.0	2011-03-28	87.0	87.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.994+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '607a2e96-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	607a2e96-fa36-11e2-96b3-aa6f927c92a3	73258	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1105/43	LINESTRING (171.7508333 -33.9875, 171.7506667 -33.99266667)	Middlesex Bank	4081087000	en	NIWA	607a2e96-fa36-11e2-96b3-aa6f927c92a3	GPS																												
4081087020	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.987+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-36.449333	172.340167	100.0	118.5	1.5	{}	2011.0	3.0	30.0	2011-03-30	89.0	89.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.987+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '607bb7ac-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	607bb7ac-fa36-11e2-96b3-aa6f927c92a3	73430	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1105/63	LINESTRING (172.3401667 -36.44933333, 172.3435 -34.45083333)	Cape Reinga	4081087020	en	NIWA	607bb7ac-fa36-11e2-96b3-aa6f927c92a3	GPS																												
4081095204	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.416+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-34.1325	172.196667	100.0	127.0	2.0	{}	2011.0	3.0	30.0	2011-03-30	89.0	89.0	['COORDINATE_ROUNDED', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.416+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '607cdf4c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	607cdf4c-fa36-11e2-96b3-aa6f927c92a3	73583	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1105/70	LINESTRING (172.1966667 -34.1325, 172.1995 -34.133)	Three Kings	4081095204	en	NIWA	607cdf4c-fa36-11e2-96b3-aa6f927c92a3	GPS	OCEANIA																											
4081104427	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.439+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-43.029667	173.552333	100.0	108.0	0.0	{}	2011.0	5.0	13.0	2011-05-13	133.0	133.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.439+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '609a14d6-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 2	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	609a14d6-fa36-11e2-96b3-aa6f927c92a3	74114	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/10	LINESTRING (173.5523333 -43.02966667, 173.5516667 -43.03283333)	North Canterbury	4081104427	en	NIWA	609a14d6-fa36-11e2-96b3-aa6f927c92a3	GPS		2012-08-28T00:00:00																										
4081099561	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.415+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-43.056167	173.547	100.0	109.0	0.0	{}	2011.0	5.0	15.0	2011-05-15	135.0	135.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.415+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '609baf4e-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 2	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	609baf4e-fa36-11e2-96b3-aa6f927c92a3	74219	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/39	LINESTRING (173.547 -43.05616667, 173.5435 -43.0025)	North Canterbury	4081099561	en	NIWA	609baf4e-fa36-11e2-96b3-aa6f927c92a3	GPS		2012-08-28T00:00:00																										
4081130535	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.446+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-46.746333	167.428167	100.0	141.5	0.5	{}	2011.0	5.0	22.0	2011-05-22	142.0	142.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.446+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '60a0ed2e-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 2	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	60a0ed2e-fa36-11e2-96b3-aa6f927c92a3	74609	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/102	LINESTRING (167.4281667 -46.74633333, 167.4305 -46.74183333)	Mason Canyon, Codfish Island	4081130535	en	NIWA	60a0ed2e-fa36-11e2-96b3-aa6f927c92a3	GPS																												
4081102538	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.517+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-43.099	173.446167	100.0	79.0	0.0	{}	2011.0	5.0	26.0	2011-05-26	146.0	146.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.517+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '60a6b998-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	60a6b998-fa36-11e2-96b3-aa6f927c92a3	74999	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/166	LINESTRING (173.4461667 -43.099, 173.4443333 -43.09533333)	North Canterbury	4081102538	en	NIWA	60a6b998-fa36-11e2-96b3-aa6f927c92a3	GPS		2012-08-28T00:00:00																										
4081130641	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.427+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-37.547167	178.8925	100.0	69.0	1.0	{}	2011.0	5.0	30.0	2011-05-30	150.0	150.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.427+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '60ab430a-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 3	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	60ab430a-fa36-11e2-96b3-aa6f927c92a3	75333	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/213	LINESTRING (178.8925 -37.54716667, 178.888 -37.5455)	Ranfurly Bank - northern	4081130641	en	NIWA	60ab430a-fa36-11e2-96b3-aa6f927c92a3	GPS																												
4081099715	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.520+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-37.594667	178.866	100.0	57.0	1.0	{}	2011.0	6.0	1.0	2011-06-01	152.0	152.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.520+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '60ad931c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	60ad931c-fa36-11e2-96b3-aa6f927c92a3	75494	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/239	LINESTRING (178.866 -37.59466667, 178.8641667 -37.59466667)	Ranfurly Bank - central / southern	4081099715	en	NIWA	60ad931c-fa36-11e2-96b3-aa6f927c92a3	GPS																												
4081183660	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.857+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-37.645833	178.944333	100.0	159.0	1.0	{}	2011.0	6.0	1.0	2011-06-01	152.0	152.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.857+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '60addc46-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	60addc46-fa36-11e2-96b3-aa6f927c92a3	75518	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	TAN1108/249	LINESTRING (178.9443333 -37.64583333, 178.9488333 -37.647)	Ranfurly Bank - central / southern	4081183660	en	NIWA	60addc46-fa36-11e2-96b3-aa6f927c92a3	GPS																												
4081101168	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.138+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-49.67046	178.757151	100.0	17.5	2.5	{}	2009.0	3.0	11.0	2009-03-11	70.0	70.0	['RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.138+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5d100a64-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	DOC	Ahyong, Shane	Specimen(s), Ethanol - no formalin = 1	Diver with SCUBA	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5d100a64-fa36-11e2-96b3-aa6f927c92a3	68547	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	Z15524	POINT (178.757151 -49.67046)	Ord Lees Islet, Antipodes Islands	4081101168	en	NIWA	5d100a64-fa36-11e2-96b3-aa6f927c92a3	GPS	OCEANIA	2009-01-01T00:00:00																										
4081143146	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.815+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-25.2683	159.615	500.0	0.0	0.0	{}	1978.0	6.0	4.0	1978-06-04	155.0	155.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.815+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5ef18894-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection			Specimen(s), None = 1		WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	OCEANIA	5ef18894-fa36-11e2-96b3-aa6f927c92a3	7459	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	Q77	POINT (159.615 -25.2683)		4081143146	en	NIWA	5ef18894-fa36-11e2-96b3-aa6f927c92a3				MALE																									
4081061574	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.146+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-50.65	167.66	500.0	400.0		{}	1978.0	9.0	17.0	1978-09-17	260.0	260.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.146+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5ea744be-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI		Specimen(s), None = 1		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5ea744be-fa36-11e2-96b3-aa6f927c92a3	7481	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	S22	POINT (167.66 -50.65)		4081061574	en	NIWA	5ea744be-fa36-11e2-96b3-aa6f927c92a3				MALE																									
4081109866	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.283+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-45.6467	166.8883	500.0	20.0	20.0	{'level0': {'gid': 'NZL', 'name': 'New Zealand'}, 'level1': {'gid': 'NZL.14_1', 'name': 'Southland'}, 'level2': {'gid': 'NZL.14.3_1', 'name': 'Southland'}}	1978.0	11.0	8.0	1978-11-08	312.0	312.0	['RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.283+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5d6f63c4-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI		Specimen(s), None = 1	Underwater hand sampler	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5d6f63c4-fa36-11e2-96b3-aa6f927c92a3	7455	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	Q102A	POINT (166.8883 -45.6467)		4081109866	en	NIWA	5d6f63c4-fa36-11e2-96b3-aa6f927c92a3		OCEANIA		MALE																									
4081195919	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.506+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117504	1	54	354	9477065	3254684	2117433	2117504	2117504	Pallenopsis obliqua (Thomson, 1884)	Pallenopsis obliqua (Thomson, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis obliqua	Pallenopsis	obliqua	SPECIES	ACCEPTED	NE	-40.6417	174.0167	500.0	215.0		{}	1978.0	11.0	3.0	1978-11-03	307.0	307.0	['RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.506+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5d77db30-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI		Specimen(s), None = 1	Dredge, rock	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5d77db30-fa36-11e2-96b3-aa6f927c92a3	7458	urn:lsid:marinespecies.org:taxname:239988	NIWA Invertebrate Collection	Q91	POINT (174.0167 -40.6417)		4081195919	en	NIWA	5d77db30-fa36-11e2-96b3-aa6f927c92a3		OCEANIA		MALE																									
