key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	references	license	isSequenced	associatedSequences	identifiers	media	facts	relations	isInCluster	identifiedBy	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	taxonConceptID	locality	gbifID	occurrenceRemarks	occurrenceID	taxonID	depth	organismQuantity	organismQuantityType	datasetID	eventID	recordNumber	scientificNameID	verbatimEventDate	http://unknown.org/taxonRankID	identificationQualifier	networkKeys	individualCount	decimalLatitude	decimalLongitude	depthAccuracy	typeStatus	institutionKey	otherCatalogNumbers	geodeticDatum	institutionCode	dynamicProperties	collectionCode	higherClassification	coordinateUncertaintyInMeters	waterBody	modified	datasetName	samplingProtocol	footprintWKT	fieldNumber	language	bibliographicCitation
3350297035	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:49:22.622+00:00	175	{}	PRESERVED_SPECIMEN	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{}	2010.0	2.0	5.0	2010-02-05	36.0	36.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:49:22.622+00:00	https://www.ebi.ac.uk/ena/browser/view/KF603934	http://creativecommons.org/licenses/by/4.0/legalcode	True	https://www.ebi.ac.uk/ena/browser/api/embl/KF603934	[{'identifier': 'KF603934'}]	[]	[]	[]	False	Andrea M. Weis	Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	EUROPE	KF603934	ZSMA20111353	https://www.ebi.ac.uk/ena/browser/view/Taxon:619866	Falkland Islands, Station389	3350297035	Colossendeis scoresbii voucher ZSMA20111353 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.	KF603934	ASV:7e92cf93e3309c29eb727f0686fe516f																																
3350262068	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:49:22.606+00:00	175	{}	PRESERVED_SPECIMEN	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{}	2010.0	2.0	9.0	2010-02-09	40.0	40.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:49:22.606+00:00	https://www.ebi.ac.uk/ena/browser/view/KF603935	http://creativecommons.org/licenses/by/4.0/legalcode	True	https://www.ebi.ac.uk/ena/browser/api/embl/KF603935	[{'identifier': 'KF603935'}]	[]	[]	[]	False	Andrea M. Weis	Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	EUROPE	KF603935	ZSMA20111347	https://www.ebi.ac.uk/ena/browser/view/Taxon:619866		3350262068	Colossendeis scoresbii voucher ZSMA20111347 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.	KF603935	ASV:f3f269f8b4c78a9611e6a89430d818fc																																
3350273915	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:49:22.607+00:00	175	{}	PRESERVED_SPECIMEN	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{}	2010.0	2.0	6.0	2010-02-06	37.0	37.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:49:22.607+00:00	https://www.ebi.ac.uk/ena/browser/view/KF603936	http://creativecommons.org/licenses/by/4.0/legalcode	True	https://www.ebi.ac.uk/ena/browser/api/embl/KF603936	[{'identifier': 'KF603936'}]	[]	[]	[]	False	Andrea M. Weis	Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	EUROPE	KF603936	ZSMA20111362	https://www.ebi.ac.uk/ena/browser/view/Taxon:619866	Falkland Islands, Station 397	3350273915	Colossendeis scoresbii voucher ZSMA20111362 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.	KF603936	ASV:0d6e416cdc51f07753d832d5c5e3332d																																
3466772752	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.424+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE	ANTARCTICA	{}	2007.0	12.0	30.0	2007-12-30	364.0	364.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'TAXON_MATCH_NAME_AND_ID_AMBIGUOUS']	2024-06-23T06:51:20.424+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'c749d390-5218-4d54-9a45-12b4915b4517'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	c749d390-5218-4d54-9a45-12b4915b4517		https://biodiversity.org.au/afd/taxa/3a8879bf-8a90-49e8-9c53-e321801b4681		3466772752		c749d390-5218-4d54-9a45-12b4915b4517	173212	597.2	1.0	Individuals	ASAC_3010_0640	SampleStation_ 50	IU-2007-4c	urn:lsid:marinespecies.org:taxname:173212	12/30/2007	6000	Species																						
1055592310	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:58.591+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 202', 'http://purl.org/dc/terms/created': '1187782865000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/871613e4-9794-4cfa-b15e-c1798aea31d3'}]}	PRESERVED_SPECIMEN	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1928.0	7.0	18.0	1928-07-18	200.0	200.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:58.591+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '2235236'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 202', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/871613e4-9794-4cfa-b15e-c1798aea31d3'}]	[]	[]	True		Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	EUROPE	2235236	1982.90			1055592310		ec8c2c39-81c4-4152-bfd9-484f7f8ef950		297.0										['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	-52.6	-63.666667	7.0	PARATYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:2235236	WGS84	NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011006162"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311788037000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Colossendeis scoresbii Gordon, 1932"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055592310"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	ZOO	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae									
1427443057	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:17:58.558+00:00	259	{}	HUMAN_OBSERVATION	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1928.0	7.0	18.0	1928-07-18	200.0	200.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:17:58.558+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '4105'}]	[]	[]	[]	True		Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	OCEANIA	4105	Stn WS 245 Colossendeis scoresbii			1427443057	Commercial otter trawl: Head rope 24.5m; mesh at cod-end 3.8cm	4105		297.0				170		urn:lsid:marinespecies.org:taxname:173212				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-52.6	-63.6667	7.0				WGS84	NIWA		Discovery Reports		500.0	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Commercial otter trawl: Head rope 24.5 m; mesh at cod-end 3.8cm	POINT (-63.6667 -52.6)	Stn WS 245	en	
1055359894	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:06.961+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 202', 'http://purl.org/dc/terms/created': '1187782865000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/871613e4-9794-4cfa-b15e-c1798aea31d3'}]}	PRESERVED_SPECIMEN	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1927.0	4.0	8.0	1927-04-08	98.0	98.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:06.961+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '2237994'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 202', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/871613e4-9794-4cfa-b15e-c1798aea31d3'}]	[]	[]	True		Pycnogonida		[]	[]			EUROPE	2237994	1982.89			1055359894		5c6be597-4468-485e-a435-00d50cc781ae		144.0										['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	6.0			1.0	PARATYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:2237994		NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011048400"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311880130000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Colossendeis scoresbii Gordon, 1932"", ""determinationTypes"": null, ""donorName"": ""Institute of Oceanographic Sciences"", ""expedition"": ""Discovery Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055359894"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"	ZOO	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae							f.s.S. St.		
1427443022	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:17:58.554+00:00	259	{}	HUMAN_OBSERVATION	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1927.0	4.0	8.0	1927-04-08	98.0	98.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:17:58.554+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '4101'}]	[]	[]	[]	False		Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	OCEANIA	4101	Stn WS 91 Colossendeis scoresbii			1427443022	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	4101		198.0				21		urn:lsid:marinespecies.org:taxname:173212				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-52.8958	-64.625	7.0				WGS84	NIWA		Discovery Reports		500.0	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	POINT (-64.625 -52.8958)	Stn WS 91	en	
1427443046	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:17:58.554+00:00	259	{}	HUMAN_OBSERVATION	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1927.0	4.0	8.0	1927-04-08	98.0	98.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:17:58.554+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '4102'}]	[]	[]	[]	False		Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	OCEANIA	4102	Stn WS 92 Colossendeis scoresbii			1427443046	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	4102		144.0				22		urn:lsid:marinespecies.org:taxname:173212				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	2.0	-51.975	-65.0167	1.0				WGS84	NIWA		Discovery Reports		500.0	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	POINT (-65.0167 -51.9750)	Stn WS 92	en	
1427443071	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:17:58.561+00:00	259	{}	HUMAN_OBSERVATION	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1927.0	4.0	9.0	1927-04-09	99.0	99.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:17:58.561+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '4103'}]	[]	[]	[]	False		Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	OCEANIA	4103	Stn WS 93 Colossendeis scoresbii		7 miles S 80° E of Beaver Island, West Falkland Islands	1427443071	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	4103		131.5				39		urn:lsid:marinespecies.org:taxname:173212				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-51.875	-61.5	1.5				WGS84	NIWA		Discovery Reports		500.0	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	LINESTRING (-61.5 -51.85, -61.5 -51.9)	Stn WS 93	en	
1427443034	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:17:58.557+00:00	259	{}	HUMAN_OBSERVATION	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}	1927.0	4.0	18.0	1927-04-18	108.0	108.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:17:58.557+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '4104'}]	[]	[]	[]	False		Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	OCEANIA	4104	Stn WS 98 Colossendeis scoresbii			1427443034	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	4104		172.0				23		urn:lsid:marinespecies.org:taxname:173212				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-49.9042	-60.5917	1.0				WGS84	NIWA		Discovery Reports		500.0	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	POINT (-60.5917 -49.9042)	Stn WS 98	en	
1056563371	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:03.714+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 218', 'http://purl.org/dc/terms/created': '1187778642000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/0f66e5a8-3352-441b-acb8-645e29bac9b9'}]}	PRESERVED_SPECIMEN	PRESENT	2117600	1	54	354	9477065	2012	2117538	2117600	2117600	Colossendeis scoresbii Gordon, 1932	Colossendeis scoresbii Gordon, 1932	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis scoresbii	Colossendeis	scoresbii	SPECIES	ACCEPTED	NE		{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:03.714+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '1215954'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 218', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/0f66e5a8-3352-441b-acb8-645e29bac9b9'}]	[]	[]	True		Pycnogonida		[]	[]			EUROPE	1215954	1933.3.23.40			1056563371		42ff178b-82af-47e8-8360-a6fb2b4199fb												['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']					HOLOTYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:1215954		NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""NHMUK014491580"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295355460000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Colossendeis scoresbii Gordon, 1932"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition, 1925-1931"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056563371"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"	ZOO	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae							W.S. 98		
