key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	scientificNameID	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimIdentification	disposition	catalogNumber	locationRemarks	institutionCode	locationID	higherClassification	collectionID	lifeStage	higherGeography	modified	verbatimEventDate	stateProvince	county	verbatimLocality	verbatimDepth	sex	georeferenceProtocol	verbatimCoordinateSystem	rightsHolder	nomenclaturalCode	typeStatus	datasetID	language	type	ownerInstitutionCode	georeferenceSources	habitat	occurrenceRemarks	elevation	elevationAccuracy	acceptedNameUsage	dynamicProperties	namePublishedInYear	taxonID	nameAccordingTo	bibliographicCitation	parentNameUsage	identificationID
4526997071	79f56d5d-f42f-4eea-91c4-3fa3a588004b	493fe050-055d-11d8-b84f-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-03-21T18:46:07.335+00:00	2024-03-21T18:47:01.495+00:00	5	NHMLA_DISCO | DigInTCN	{}	MATERIAL_SAMPLE	1.0	PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	32.709413	-117.218438	10.0	13.5	0.0	NORTH_AMERICA	{'level0': {'gid': 'USA', 'name': 'United States'}, 'level1': {'gid': 'USA.5_1', 'name': 'California'}, 'level2': {'gid': 'USA.5.37_1', 'name': 'San Diego'}}	Eastern Pacific Ocean	2021.0	7.0	9.0	2021-07-09	190.0	190.0	['COORDINATE_ROUNDED']	2024-03-21T18:47:01.495+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '87DF5C3E-D339-4115-BA2A-B9FBDCEAA309'}]	[]	[]	[]	2fc908ba-e775-49e2-bffe-6b9041c3b70f	6ee7b3bc-bc1c-443f-b74f-5c3d833a4152	False	Navy San Diego 2021	Brandon Swope|Joel Guerrero|Ernie Arias	Dancing Coyote Environmental	preserved in 95% ethanol	0.05 m² Van Veen grab	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	87DF5C3E-D339-4115-BA2A-B9FBDCEAA309	urn:lsid:marinespecies.org:taxname:239978	urn:lsid:biocol.org:col:34802	California, San Diego County, Naval Base Coronado Fishing Pier	S03	MBC	4526997071	87DF5C3E-D339-4115-BA2A-B9FBDCEAA309	Ammotheidae Tanystylum  intermedium	dna/tissue vouchered only	LACM:DISCO:21153	grab was rinsed with seawater and the top 5 cm were subsampled and placed in clean 32 oz. bottle	LACM	99513F14-0B06-4FD0-9F46-613945F86BB9	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ammotheidae | Tanystylum	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047																															
1317457000	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:46.876+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	8.78	-79.53		9.5	1.5	NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1975.0	4.0	15.0	1975-04-15	105.0	105.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:46.876+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/30b435c5b-bd4d-4ee0-aa8e-e57460929599'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/30b435c5b-bd4d-4ee0-aa8e-e57460929599		urn:lsid:biocol.org:col:34871	Panama Bay, Taboguilla Island, Settling Plates		IZ	1317457000	http://n2t.net/ark:/65665/30b435c5b-bd4d-4ee0-aa8e-e57460929599			USNM 168760		USNM	55	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Juvenile	North Pacific Ocean, Gulf of Panama, Panama	2016-09-30T11:21:00.000+00:00	15 APR 1975																											
1319785479	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:16.249+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	8.78	-79.53		9.5	1.5	NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1975.0	6.0	11.0	1975-06-11	162.0	162.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:16.249+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3724a1416-8f0a-484f-b6de-678e9b36ca71'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/3724a1416-8f0a-484f-b6de-678e9b36ca71		urn:lsid:biocol.org:col:34871	Panama Bay, Taboguilla Island		IZ	1319785479	http://n2t.net/ark:/65665/3724a1416-8f0a-484f-b6de-678e9b36ca71			USNM 168761		USNM	57	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Juvenile	North Pacific Ocean, Gulf of Panama, Panama	2016-09-30T11:21:00.000+00:00	11 JUN 1975																											
4103844445	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:40:49.986+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1975.0	9.0	15.0	1975-09-15	258.0	258.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:40:49.986+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '01c32f5e-5cf9-49aa-8375-7f6410035bc4'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		2 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	01c32f5e-5cf9-49aa-8375-7f6410035bc4			Los Angeles County, California, USA		IZ	4103844445	01c32f5e-5cf9-49aa-8375-7f6410035bc4			689786		SBMNH							9/15/1975	California	Los Angeles County	King Harbor	depth unknown																							
4103945663	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:24.778+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1975.0	9.0	9.0	1975-09-09	252.0	252.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:24.778+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4a7ebcfb-5ea1-4ee5-a035-59f42347e64d'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		6 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	4a7ebcfb-5ea1-4ee5-a035-59f42347e64d			Los Angeles County, California, USA		IZ	4103945663	4a7ebcfb-5ea1-4ee5-a035-59f42347e64d			689781		SBMNH							9/9/1975	California	Los Angeles County	King Harbor	depth unknown																							
4103962407	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:25.042+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1975.0	9.0	30.0	1975-09-30	273.0	273.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:25.042+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '56974676-37e1-463a-94a5-6c9f85324993'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		1 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	56974676-37e1-463a-94a5-6c9f85324993			Los Angeles County, California, USA		IZ	4103962407	56974676-37e1-463a-94a5-6c9f85324993			689785		SBMNH							9/30/1975	California	Los Angeles County	King Harbor	depth unknown																							
4103999240	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:30.724+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1975.0	9.0	15.0	1975-09-15	258.0	258.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:30.724+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '995dfc6c-6a5c-458b-b1d5-fa90ce07258e'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		1 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	995dfc6c-6a5c-458b-b1d5-fa90ce07258e			Los Angeles County, California, USA		IZ	4103999240	995dfc6c-6a5c-458b-b1d5-fa90ce07258e			672539		SBMNH							9/15/1975	California	Los Angeles County	King Harbor Stable Substrate, station 55, #1	depth unknown																							
4103949293	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:33.311+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1975.0	9.0		1975-09			['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:33.311+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'd2ed7c07-6014-4e38-9fe7-300b122f17e8'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		1 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	d2ed7c07-6014-4e38-9fe7-300b122f17e8			Los Angeles County, California, USA		IZ	4103949293	d2ed7c07-6014-4e38-9fe7-300b122f17e8			689783		SBMNH							1975-09	California	Los Angeles County	King Harbor	depth unknown																							
4103819374	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:33.098+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1975.0	9.0	25.0	1975-09-25	268.0	268.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:33.098+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'e09e65d7-c532-44d5-b88c-2a41a6308895'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		2 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	e09e65d7-c532-44d5-b88c-2a41a6308895			Los Angeles County, California, USA		IZ	4103819374	e09e65d7-c532-44d5-b88c-2a41a6308895			689782		SBMNH							9/25/1975	California	Los Angeles County	King Harbor	depth unknown																							
4103922926	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:29.404+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.845833	-118.398889				NORTH_AMERICA	{}		1974.0	10.0	15.0	1974-10-15	288.0	288.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:29.404+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '759e2e05-3d7d-47cb-92fd-be04f3ebbe2d'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		1 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	759e2e05-3d7d-47cb-92fd-be04f3ebbe2d			Los Angeles County, California, USA		IZ	4103922926	759e2e05-3d7d-47cb-92fd-be04f3ebbe2d			687975		SBMNH							10/15/1974	California	Los Angeles County	King Harbor Benthic Survey, Site 3 #1	5-10 ft																							
4103893329	a004778c-d113-479e-a77f-990041283a51	78678140-1815-11da-9544-b8a03c50a862		c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-05-10T21:35:21.339+00:00	2024-05-10T21:41:33.059+00:00	57		{}	PRESERVED_SPECIMEN		PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	33.833333	-118.383333				NORTH_AMERICA	{'level0': {'gid': 'USA', 'name': 'United States'}, 'level1': {'gid': 'USA.5_1', 'name': 'California'}, 'level2': {'gid': 'USA.5.19_1', 'name': 'Los Angeles'}}		1974.0	10.0		1974-10			['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-05-10T21:41:33.059+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'c45d9126-2515-48b8-a53c-6c1336396fbd'}]	[]	[]	[]	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1		False		Dale Straughan		1 Fluid		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	c45d9126-2515-48b8-a53c-6c1336396fbd			Los Angeles County, California, USA		IZ	4103893329	c45d9126-2515-48b8-a53c-6c1336396fbd			688020		SBMNH							1974-10	California	Los Angeles County	King Harbor; Straughan Benthic Survey Site 3 #1	0-5 m																							
1320099602	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:50.765+00:00	395		{}	PRESERVED_SPECIMEN	4.0	PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	8.95	-79.52				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1972.0	4.0	18.0	1972-04-18	109.0	109.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:50.765+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/38022ba5b-d626-4a86-94ca-49e6c2760ffb'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. L. Jones & D. Pawson	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/38022ba5b-d626-4a86-94ca-49e6c2760ffb		urn:lsid:biocol.org:col:34871	Panama Bay, Panama City, Whorehouse Reef	1-5	IZ	1320099602	http://n2t.net/ark:/65665/38022ba5b-d626-4a86-94ca-49e6c2760ffb			USNM 154496		USNM	92- 1-5	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		North Pacific Ocean, Gulf of Panama, Panama, Canal Zone	2016-08-18T14:20:00.000+00:00		Canal Zone			Intertidal	FEMALE																						
1319759936	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:05.888+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	9.5767	-79.0217				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1971.0	5.0	1.0	1971-05-01	121.0	121.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:05.888+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/371240466-32bb-4ec7-bb2a-fc4f25cc2404'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. L. Jones & J. Rosewater	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/371240466-32bb-4ec7-bb2a-fc4f25cc2404		urn:lsid:biocol.org:col:34871	Perlas Archipelago, Pajaros Island		IZ	1319759936	http://n2t.net/ark:/65665/371240466-32bb-4ec7-bb2a-fc4f25cc2404			USNM 154497		USNM	41-1	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Juvenile	North Pacific Ocean, Gulf of Panama, Panama	2016-09-30T11:21:00.000+00:00	01 MAY 1971					FEMALE	unknown, from legacy	Degrees Minutes Seconds																				
1320497971	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:03.967+00:00	395		{}	PRESERVED_SPECIMEN	10.0	PRESENT	2118244	1	54	354	9477065	6313	2118237	2118244	2118244	Tanystylum intermedium Cole, 1904	Tanystylum intermedium Cole, 1904	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum intermedium	Tanystylum	intermedium	SPECIES	ACCEPTED	NE	8.9458	-79.5292		0.5	0.5	NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1971.0	11.0	6.0	1971-11-06	310.0	310.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:03.967+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/391c6b185-72f5-4539-84d8-5c445bf3f35f'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/391c6b185-72f5-4539-84d8-5c445bf3f35f		urn:lsid:biocol.org:col:34871	Panama Bay, Panama City, Old French Fort		IZ	1320497971	http://n2t.net/ark:/65665/391c6b185-72f5-4539-84d8-5c445bf3f35f			USNM 154495		USNM	58- 1-4	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		North Pacific Ocean, Gulf of Panama, Panama, Canal Zone	2016-09-30T11:21:00.000+00:00	06 NOV 1971	Canal Zone					unknown, from legacy	Degrees Minutes Seconds																				
