key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	http://unknown.org/nick	verbatimEventDate	verbatimLocality	collectionCode	gbifID	occurrenceID	taxonID	catalogNumber	institutionCode	identificationRemarks	occurrenceRemarks	http://unknown.org/captive	identificationID	datasetID	recordNumber	habitat	institutionID	municipality	locality	collectionID	individualCount	higherGeography	preparations	previousIdentifications	fieldNumber	networkKeys	institutionKey	nomenclaturalCode	higherClassification	eventID
1838379768	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T05:50:20.919+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Duncan Pritchard', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '15645786', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2014-10-24', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Duncan Pritchard', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/15645786/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/15645786'}]}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2014-11-26T04:33:42	-29.48728	31.2555	1.0	AFRICA	KwaZulu-Natal	{}	2014.0	10.0	24.0	2014-10-24	297.0	297.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2023-04-25T22:33:45.000+00:00	2024-07-24T05:50:20.919+00:00	https://www.inaturalist.org/observations/11081853	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '11081853'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/15645786', 'created': '2014-10-24T00:00:00.000+00:00', 'creator': 'Duncan Pritchard', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Duncan Pritchard', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/15645786/original.jpg'}]	[]	[]	True	iNaturalist research-grade observations	Duncan Pritchard	Duncan Pritchard	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA	Duncan Pritchard	11081853	tidaltao	2014-10-24	19, Colwyn Dr	Observations	1838379768	https://www.inaturalist.org/observations/11081853	687072	11081853	iNaturalist	<h4>Yellow</h4><br> Confidence: It is likely to be this; Reputation Score = 0.51266 EE; Is_Likely = True	<h3>Yellow Sea Spider</h3><br>	wild	24661344																	
3311795352	0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2024-01-23T21:59:14.788+00:00	2024-01-26T11:52:12.292+00:00	105	{}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2014-11-26T00:00:00	-29.48728	31.2555		AFRICA		{}	2014.0	10.0	24.0	2014-10-24	297.0	297.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']		2024-01-26T11:52:12.292+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:SANBI:iSpot:623870'}]	[{'references': 'http://www.ispotnature.org/node/623870'}]	[]	[]	True		tidaltao	tidaltao	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:SANBI:iSpot:623870					3311795352	urn:catalog:FBIP:SANBI:iSpot:623870				Yellow Sea Spider				SeaKeys	623870	Littoral	SANBI	KwaDukuza	19, Colwyn Dr	iSpot										
1850896050	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T05:50:25.544+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'tony rebelo', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '19234771', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2011-03-19', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'tony rebelo', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19234771/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/19234771'}]}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T11:59:20	-34.0	25.86				{}	2011.0	3.0	19.0	2011-03-19	78.0	78.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-04-03T01:22:47.000+00:00	2024-07-24T05:50:25.544+00:00	https://www.inaturalist.org/observations/11056835	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '11056835'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/19234771', 'created': '2011-03-19T00:00:00.000+00:00', 'creator': 'tony rebelo', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'tony rebelo', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19234771/original.jpg'}]	[]	[]	True	iNaturalist research-grade observations	tony rebelo	Peter Southwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA	tony rebelo	11056835	pedivers	2011-03-19	Riy Banks	Observations	1850896050	https://www.inaturalist.org/observations/11056835	687072	11056835	iNaturalist	<h4>Yellow sea spider</h4><br> Confidence: As sure as can be; Reputation Score = 0.58251 EE; Is_Likely = True	<h3>sea spider</h3><br>	wild	24600127																	
1850896045	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T05:50:19.938+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'tony rebelo', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '19235194', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2011-03-19', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'tony rebelo', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235194/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/19235194'}, {'http://purl.org/dc/terms/creator': 'tony rebelo', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '19235197', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2011-03-19', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'tony rebelo', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235197/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/19235197'}]}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T11:58:15	-34.0	25.86				{}	2011.0	3.0	19.0	2011-03-19	78.0	78.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2018-06-06T09:49:21.000+00:00	2024-07-24T05:50:19.938+00:00	https://www.inaturalist.org/observations/11056917	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '11056917'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/19235197', 'created': '2011-03-19T00:00:00.000+00:00', 'creator': 'tony rebelo', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'tony rebelo', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235197/original.jpg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/19235194', 'created': '2011-03-19T00:00:00.000+00:00', 'creator': 'tony rebelo', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'tony rebelo', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235194/original.jpg'}]	[]	[]	True	iNaturalist research-grade observations	tony rebelo	Peter Southwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA	tony rebelo	11056917	pedivers	2011-03-19	Riy Banks	Observations	1850896045	https://www.inaturalist.org/observations/11056917	687072	11056917	iNaturalist	<h4>Yellow sea spider</h4><br> Confidence: As sure as can be; Reputation Score = 0.58251 EE; Is_Likely = True	<h3>sea spiders</h3><br>	wild	24600230																	
1850896046	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T06:17:50.291+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'tony rebelo', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '19235190', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2011-03-19', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'tony rebelo', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235190/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/19235190'}]}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T11:56:49	-34.0	25.86				{}	2011.0	3.0	19.0	2011-03-19	78.0	78.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2018-06-06T09:49:08.000+00:00	2024-07-24T06:17:50.291+00:00	https://www.inaturalist.org/observations/11056996	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '11056996'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/19235190', 'created': '2011-03-19T00:00:00.000+00:00', 'creator': 'tony rebelo', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'tony rebelo', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235190/original.jpg'}]	[]	[]	True	iNaturalist research-grade observations	tony rebelo	Peter Southwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA	tony rebelo	11056996	pedivers	2011-03-19	Riy Banks	Observations	1850896046	https://www.inaturalist.org/observations/11056996	687072	11056996	iNaturalist	<h4>Yellow sea spider</h4><br> Confidence: It is likely to be this; Reputation Score = 0.58251 EE; Is_Likely = True	<h3>sea spider</h3><br>	wild	24600316																	
3311802104	0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2024-01-23T21:59:14.788+00:00	2024-01-26T11:52:15.086+00:00	105	{}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T00:00:00	-34.0	25.86				{}	2011.0	3.0	19.0	2011-03-19	78.0	78.0	['GEODETIC_DATUM_ASSUMED_WGS84']		2024-01-26T11:52:15.086+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:SANBI:iSpot:711242'}]	[{'references': 'http://www.ispotnature.org/node/711242'}]	[]	[]	True		PEdivers	Pbsouthwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:SANBI:iSpot:711242					3311802104	urn:catalog:FBIP:SANBI:iSpot:711242				sea spider				SeaKeys	711242	Marine Benthic	SANBI	Nelson Mandela Bay	Riy Banks	iSpot										
3311802105	0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2024-01-23T21:59:14.788+00:00	2024-01-26T11:52:15.085+00:00	105	{}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T00:00:00	-34.0	25.86				{}	2011.0	3.0	19.0	2011-03-19	78.0	78.0	['GEODETIC_DATUM_ASSUMED_WGS84']		2024-01-26T11:52:15.085+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:SANBI:iSpot:711246'}]	[{'references': 'http://www.ispotnature.org/node/711246'}]	[]	[]	True		PEdivers	Pbsouthwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:SANBI:iSpot:711246					3311802105	urn:catalog:FBIP:SANBI:iSpot:711246				sea spiders				SeaKeys	711246	Marine Benthic	SANBI	Nelson Mandela Bay	Riy Banks	iSpot										
3311802107	0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2024-01-23T21:59:14.788+00:00	2024-01-26T11:52:15.083+00:00	105	{}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T00:00:00	-34.0	25.86				{}	2011.0	3.0	19.0	2011-03-19	78.0	78.0	['GEODETIC_DATUM_ASSUMED_WGS84']		2024-01-26T11:52:15.083+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:SANBI:iSpot:711249'}]	[{'references': 'http://www.ispotnature.org/node/711249'}]	[]	[]	True		PEdivers	Pbsouthwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:SANBI:iSpot:711249					3311802107	urn:catalog:FBIP:SANBI:iSpot:711249				sea spider				SeaKeys	711249	Marine Benthic	SANBI	Nelson Mandela Bay	Riy Banks	iSpot										
1850896049	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T06:20:55.048+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'tony rebelo', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '19235202', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2011-06-16', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'tony rebelo', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235202/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/19235202'}]}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T09:51:01	-34.0436	25.6464	1.0	AFRICA	Eastern Cape	{}	2011.0	6.0	16.0	2011-06-16	167.0	167.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2018-06-06T09:49:37.000+00:00	2024-07-24T06:20:55.048+00:00	https://www.inaturalist.org/observations/11056678	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '11056678'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/19235202', 'created': '2011-06-16T00:00:00.000+00:00', 'creator': 'tony rebelo', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'tony rebelo', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/19235202/original.jpg'}]	[]	[]	True	iNaturalist research-grade observations	tony rebelo	Peter Southwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA	tony rebelo	11056678	pedivers	2011-06-16	Crossroads	Observations	1850896049	https://www.inaturalist.org/observations/11056678	687072	11056678	iNaturalist	<h4>Yellow sea spider</h4><br> Confidence: As sure as can be; Reputation Score = 0.58251 EE; Is_Likely = True;<br><strong>Notes:</strong> 2O #30.2	<h3>sea spider</h3><br>	wild	24599950																	
3311802089	0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2024-01-23T21:59:14.788+00:00	2024-01-26T11:52:15.078+00:00	105	{}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2015-08-12T00:00:00	-34.0436	25.6464		AFRICA		{}	2011.0	6.0	16.0	2011-06-16	167.0	167.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']		2024-01-26T11:52:15.078+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:SANBI:iSpot:711230'}]	[{'references': 'http://www.ispotnature.org/node/711230'}]	[]	[]	True		PEdivers	Pbsouthwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:SANBI:iSpot:711230					3311802089	urn:catalog:FBIP:SANBI:iSpot:711230				sea spider				SeaKeys	711230	Marine Benthic	SANBI	Nelson Mandela Bay	Crossroads	iSpot										
3311806434	0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2024-01-23T21:59:14.788+00:00	2024-01-26T11:52:16.600+00:00	105	{}	HUMAN_OBSERVATION	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE	2014-11-28T00:00:00	-34.0703	18.3155		AFRICA		{}	2010.0	4.0	24.0	2010-04-24	114.0	114.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']		2024-01-26T11:52:16.600+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:SANBI:iSpot:624323'}]	[{'references': 'http://www.ispotnature.org/node/624323'}]	[]	[]	False		Pbsouthwood	Pbsouthwood	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:SANBI:iSpot:624323					3311806434	urn:catalog:FBIP:SANBI:iSpot:624323				Yellow sea spider at Tafelberg Reef				SeaKeys	624323	Marine Benthic	SANBI	City of Cape Town	Tafelberg Reef	iSpot										
1699424185	2429f28c-dc43-40e7-92f6-49206e0729fb	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T14:54:25.883+00:00	2024-01-24T16:45:19.621+00:00	264	{}	PRESERVED_SPECIMEN	PRESENT	2118007	1	54	354	9477065	2011	2118006	2118007	2118007	Queubus jamesanus Barnard, 1946	Queubus jamesanus Barnard, 1946	Animalia	Arthropoda	Pantopoda	Callipallenidae	Queubus	Queubus jamesanus	Queubus	jamesanus	SPECIES	ACCEPTED	NE		-34.1167	18.4333		AFRICA	Western Cape	{'level0': {'gid': 'ZAF', 'name': 'South Africa'}, 'level1': {'gid': 'ZAF.9_1', 'name': 'Western Cape'}, 'level2': {'gid': 'ZAF.9.3_1', 'name': 'City of Cape Town'}, 'level3': {'gid': 'ZAF.9.3.1_1', 'name': 'City of Cape Town'}}	1993.0	5.0		1993-05			['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-01-24T16:45:19.621+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ISAM:MB-A040984'}]	[]	[]	[]	False		Griffiths, C.L.	Griffiths, C.L.	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:ISAM:MB-A040984		May/1993			1699424185	urn:catalog:ISAM:MB-A040984		MB-A040984											Kalk Bay, False Bay		1.0	Western Cape, South Africa	Ethanol - 1	Queubus jamesanus (current)	A40984					
